Название парикмахерской,Диапазон цен стрижки,Тип парикмахерской,Лет существования,Рейтинг по отзывам
Стрижка Люкс,800-2000,Женская,3,4.6
Барбершоп Элита,500-1200,Мужская,5,4.8
Салон Престиж,600-1500,Женская,7,4.9
Мастерской Стиля,400-1000,Мужская,2,4.3
Гламур Парикмахерская,700-2500,Женская,4,4.7
Брутальный Барбер,450-1100,Мужская,6,4.5
Эксклюзивный Салон,1000-3000,Женская,9,4.9
Мужская Точка,500-1500,Мужская,4,4.2
Салон Красоты Леди,400-1000,Женская,8,4.7
Стрижка Профи,300-800,Мужская,5,4.4
